Year,2,3,4,5,6,7,8,9,10+
1979,149,1908,3762,6057,9022,1743,438,56,113
1980,595,1385,11481,4298,3798,3732,544,91,37
1981,10,514,4911,16900,5999,2825,1803,168,57
1982,107,245,3149,10851,14049,2068,1000,725,201
1983,34,1010,1589,4596,9850,8839,766,207,280
1984,241,1069,4946,1341,4772,3742,4076,238,80
1985,1320,1728,4562,6796,855,1682,1914,1903,296
1986,1012,4223,4068,4686,5139,494,796,897,400
1987,1939,8308,6965,2728,2042,1094,132,165,339
1988,237,9831,15164,5824,1304,1084,609,66,213
1989,188,2474,22560,9571,3196,513,556,144,141
1990,1857,2415,8628,23611,6331,816,150,67,74
1991,8617,2145,5397,7342,14103,2648,338,40,27
1992,5405,10693,5721,4610,3691,5209,999,120,16
1993,769,12333,12815,2968,1722,1425,2239,343,38
1994,3198,3343,28258,10682,1469,726,358,647,108
1995,4015,7323,5744,23927,5769,615,290,187,331
1996,3090,10552,7639,4468,12896,2346,208,79,125
1997,1364,3939,10915,4895,2610,5035,719,64,69
1998,279,8257,5667,7856,2418,1422,1897,261,45
1999,1434,1550,17243,4516,4837,915,620,481,64
2000,2659,6317,2352,13615,1945,1706,324,222,192
2001,2515,11098,6954,1446,6262,675,478,105,94
2002,1082,10434,15998,5099,1131,3149,262,169,100
2003,401,6352,16265,12548,2968,748,1236,91,70
2004,1597,4063,17652,19358,8871,1940,471,489,155
2005,2405,9450,6929,25421,13778,4584,809,251,237
2006,241,10038,21246,6646,18840,7600,2180,323,202
2007,782,3884,42224,22239,3354,9952,2740,519,181
2008,2316,4508,9706,53022,11014,1717,3033,815,192
2009,1066,3185,4886,8892,35011,5733,726,1381,509
2010,121,6032,7061,4806,6766,17503,1874,354,528
2011,253,1584,11797,5080,2853,3983,6220,494,183
2012,196,1322,3421,13107,2223,1231,2480,2662,370
2013,250,1042,2865,4008,9222,1206,668,1248,1599
2014,238,1478,1751,2725,2737,4742,447,387,1403
