Year,2,3,4,5,6,7,8,9,10
1979,0.002,0.018,0.162,0.419,0.669,0.833,0.99,0.553,0
1980,0.018,0.023,0.144,0.282,0.508,0.657,0.685,0.561,0.724
1981,0.001,0.019,0.108,0.328,0.813,0.92,0.793,0.463,0.569
1982,0.003,0.032,0.156,0.369,0.501,0.751,1.056,0.903,1.288
1983,0.001,0.032,0.301,0.357,0.683,0.692,0.706,0.643,1.051
1984,0.013,0.051,0.22,0.449,0.784,0.607,0.825,0.493,0.369
1985,0.035,0.122,0.315,0.532,0.582,0.719,0.737,1.314,1.184
1986,0.013,0.148,0.467,0.625,1.048,0.816,0.937,0.976,0.918
1987,0.013,0.141,0.389,0.669,0.62,0.657,0.53,0.5,0.685
1988,0.005,0.086,0.411,0.665,0.811,0.815,0.998,0.557,0.557
1989,0.007,0.071,0.288,0.498,1.003,0.917,1.552,0.682,0.632
1990,0.079,0.117,0.379,0.556,0.736,0.772,0.769,0.794,0.467
1991,0.109,0.123,0.413,0.651,0.783,0.811,0.89,0.473,0.25
1992,0.035,0.192,0.555,0.762,0.827,0.768,0.858,0.973,0.204
1993,0.022,0.104,0.37,0.635,0.736,0.934,0.933,0.842,0.383
1994,0.078,0.128,0.365,0.608,0.769,0.821,0.643,0.786,0.575
1995,0.063,0.259,0.337,0.607,0.804,0.895,0.971,0.856,0.926
1996,0.099,0.233,0.473,0.48,0.798,0.95,0.912,0.79,0.756
1997,0.015,0.176,0.404,0.641,0.579,0.873,0.9,0.819,0.253
1998,0.017,0.117,0.413,0.575,0.781,0.738,1.025,1.041,0.53
1999,0.032,0.126,0.38,0.689,0.878,0.792,0.87,0.806,0.776
2000,0.025,0.193,0.286,0.591,0.737,0.93,0.74,0.933,0.807
2001,0.018,0.14,0.337,0.286,0.603,0.62,0.745,0.568,0.44
2002,0.006,0.096,0.308,0.445,0.381,0.71,0.523,0.65,0.468
2003,0.009,0.047,0.213,0.424,0.508,0.469,0.685,0.345,0.383
2004,0.012,0.117,0.179,0.424,0.609,0.753,0.616,0.645,0.71
2005,0.007,0.089,0.299,0.423,0.614,0.753,0.849,0.809,0.653
2006,0.003,0.036,0.294,0.524,0.648,0.846,1.056,1.057,0.829
2007,0.021,0.06,0.209,0.575,0.553,0.886,0.882,0.787,0.58
2008,0.06,0.159,0.209,0.44,0.635,0.62,0.757,0.723,0.636
2009,0.01,0.109,0.259,0.302,0.59,0.829,0.585,0.992,0.987
2010,0.003,0.071,0.376,0.438,0.396,0.676,0.725,0.642,0.963
2011,0.01,0.057,0.194,0.512,0.508,0.431,0.543,0.42,0.428
2012,0.011,0.065,0.167,0.342,0.442,0.429,0.526,0.474,0.372
2013,0.008,0.075,0.196,0.302,0.432,0.459,0.439,0.555,0.478
2014,0.011,0.06,0.175,0.29,0.348,0.415,0.306,0.494,0.554
2015,0.018,0.106,0.224,0.326,0.358,0.406,0.411,0.411,0.411
2016,0.003,0.128,0.288,0.402,0.471,0.5,0.505,0.505,0.505
2017,0.002,0.093,0.295,0.421,0.486,0.52,0.52,0.52,0.52
